pharmacy_id,district_id,name,street,housenumber,postal_code,district,neighborhood,phone_number,website,services_offered,openinghours,wheelchair_accessible,latitude,longitude,coordinates
588557536,11003003,sky apotheke am antonplatz,langhansstraße,1,13086,Pankow,Weißensee,,https://www.apotheke-am-antonplatz.de/,dispensing_yes,mo-fr 08:00-20:00; sa 09:00-14:00,yes,52.5487495,13.4506766,POINT(13.4506766 52.5487495)
592122156,11006006,schlachtensee apotheke,breisgauer straße,7,14129,Steglitz-Zehlendorf,Zehlendorf,+493080902191,http://www.schlachtensee-apotheke.de/,dispensing_yes,mo-fr 08:30-19:00; sa 08:30-14:00,limited,52.4386509,13.2155816,POINT(13.2155816 52.4386509)
593781884,11006006,lankwitz-apotheke,kaiser-wilhelm-straße,68,12247,Steglitz-Zehlendorf,Lankwitz,+49307749254,https://www.lankwitz-apotheke-berlin.de,dispensing_yes,mo-fr 08:30-18:30; sa 08:30-13:30,no,52.4352813,13.3437222,POINT(13.3437222 52.4352813)
595536654,11001001,mediosapotheke hackescher markt,rosenthaler straße,46-47,10178,Mitte,Mitte,,nan,dispensing_yes,mo-fr 08:00-19:00; sa 09:00-19:00,no,52.5245938,13.4032424,POINT(13.4032424 52.5245938)
602531459,11001001,wedding apotheke,müllerstraße,139,13353,Mitte,Wedding,,https://www.wedding-apotheke.de/,dispensing_yes,mo-fr 08:15-20:00; sa 08:30-16:00,yes,52.5492948,13.353572,POINT(13.353572 52.5492948)
604938266,11002002,apotheke im karstadt,nan,nan,nan,Friedrichshain-Kreuzberg,Kreuzberg,+493062736580,nan,dispensing_yes,mo-sa 9:00-20:00,yes,52.4874834,13.4238942,POINT(13.4238942 52.4874834)
608524481,11003003,prenz’l-apotheke,schönhauser allee,81,10439,Pankow,Prenzlauer Berg,,nan,dispensing_yes,mo-fr 08:00-20:00; sa 08:30-20:00; ph off,yes,52.550241,13.4142615,POINT(13.4142615 52.550241)
609142032,11008008,elch apotheke,johannisthaler chaussee,321,nan,Neukölln,Gropiusstadt,+493060258313,nan,dispensing_yes,mo-fr 08:00-20:00; sa 09:00-20:00,yes,52.4292565,13.4536256,POINT(13.4536256 52.4292565)
609146610,11008008,gropius-apotheke,imbuschweg,40,12353,Neukölln,Gropiusstadt,,nan,dispensing_yes,nan,yes,52.42958,13.4570794,POINT(13.4570794 52.42958)
610199208,11007007,tempelritter-apotheke,bahnhofstraße,60,12305,Tempelhof-Schöneberg,Lichtenrade,+493076403454,https://www.tempelritter-apotheke.de/,dispensing_yes,mo-fr 08:00-18:30; sa 08:30-13:00,yes,52.3865161,13.4066989,POINT(13.4066989 52.3865161)
