Technischer Schlüssel;Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name des Planungsraumes
00008100_0030f7b9;00008100:0030f7b9;100621;Treptow-Köpenick;Köpenick;Grünanlage;Mahlower Straße Vollkropfwiesen Gr GA;-;-;-;9597,00;in Widmung;09200819;Köllnische Vorstadt
00008100_001c69bf;00008100:001c69bf;100381;Treptow-Köpenick;Köpenick;Grünanlage;Ottomar-Geschke-Straße/ Freifläche vor Nr. 15 Köp GA;-;-;-;588,00;gewidmet;09200818;Spindlersfeld
00008100_001c6a02;00008100:001c6a02;110031;Treptow-Köpenick;Friedrichshagen;Grünanlage;Bruno-Wille-Straße/ Müggelseedamm Fr GA;Bruno-Wille-Steig (Kaisersteg);-;-;765,00;gewidmet;09501737;Alt-Friedrichshagen
00008100_000a6c99;00008100:000a6c99;321.040;Neukölln;Britz;Grünanlage;Friedrichsbrunner Platz-Grünanlage;-;-;-;3050,00;gewidmet;08200624;Tempelhofer Weg
00008100_000a6e2b;00008100:000a6e2b;221.059;Neukölln;Britz;Grünanlage;Am Gewerbedreieck;-;-;-;813,00;gewidmet;08200729;Britzer Garten
00008100_001c68f0;00008100:001c68f0;100451;Treptow-Köpenick;Köpenick;Grünanlage;Uferweg Freiheit Köp GA;-;-;-;1052,00;gewidmet;09401534;Altstadt Köpenick
00008100_001c6710;00008100:001c6710;060141;Treptow-Köpenick;Altglienicke;Grünanlage;Lianenweg Ag GA;-;-;-;914,00;gewidmet;09300920;Dorf Altglienicke
00008100_001c6701;00008100:001c6701;060171;Treptow-Köpenick;Altglienicke;Grünanlage;Nippeser Straße/ Rebenweg Ag GA;"""Am Wäldchen""";-;-;3952,00;gewidmet;09300923;Kölner Viertel
00008100_002cf8f0;00008100:002cf8f0;090211;Treptow-Köpenick;Oberschöneweide;Grünanlage;Minna-Todenhagen-Straße Ob GA;-;-;-;4256,00;gewidmet;09200510;Helmholtz-Kiez
00008100_003031f7;00008100:003031f7;110271;Treptow-Köpenick;Friedrichshagen;Grünanlage;Westl. Neuenhagener Mühlenfließ Fr GA;südlich von PO 119020;-;-;30,00;gewidmet;09501736;Hirschgarten
00008100_0030886f;00008100:0030886f;090231;Treptow-Köpenick;Oberschöneweide;Grünanlage;An der Wuhlheide 81/ Modellpark Ob GA;nur Bäume;-;-;7000,00;-;09200512;Wuhlheide
00008100_000a6bf7;00008100:000a6bf7;231.113;Neukölln;Rudow;Grünanlage;Grünverbindung Ostburger Weg;-;-;-;1522,00;gewidmet;08401246;Waltersdorfer Chaussee Ost
00008100_000a6e2a;00008100:000a6e2a;221.060;Neukölln;Britz;Grünanlage;Walnußweg-Grünanlage;-;-;-;3311,00;gewidmet;08200725;Mohriner Allee Nord
00008100_000a6e5f;00008100:000a6e5f;211.074;Neukölln;Buckow;Grünanlage;Siedlung Neue Heimstatt;-;-;-;3511,00;gewidmet;08200831;Buckow West
00008100_000a6df9;00008100:000a6df9;231.091;Neukölln;Rudow;Grünanlage;Schmiedeteich-Grünanlage;-;-;-;3937,00;gewidmet;08401243;Alt-Rudow
00008100_000a6c08;00008100:000a6c08;231.112;Neukölln;Rudow;Grünanlage;Verbindungsweg Süd zum Landschaftspark;-;-;-;849,00;gewidmet;08401246;Waltersdorfer Chaussee Ost
00008100_000a6d58;00008100:000a6d58;411.020;Neukölln;Neukölln;Grünanlage;Jan-Hus-Weg-Grünanlage;-;-;2015;649,00;gewidmet;08100416;Alt-Rixdorf
00008100_000a6d63;00008100:000a6d63;431.006;Neukölln;Neukölln;Grünanlage;Boddinplatz;-;-;-;1331,00;gewidmet;08100206;Flughafenstraße
00008100_000a6e62;00008100:000a6e62;211.072;Neukölln;Buckow;Grünanlage;Alt-Buckow 25-33;-;-;-;3183,00;gewidmet;08200832;Buckow Mitte
00008100_000a6d55;00008100:000a6d55;411.025;Neukölln;Neukölln;Grünanlage;Venusplatz-Grünanlage;-;-;2017;4320,00;gewidmet;08100521;Schulenburgpark
00008100_000a6be9;00008100:000a6be9;421.500;Neukölln;Neukölln;Grünanlage;Lilienthalstraße-Grünanlage;-;-;-;1908,00;gewidmet;08100101;Hasenheide
00008100_000a6d67;00008100:000a6d67;411.005;Neukölln;Neukölln;Grünanlage;Treptower Strasse-Grünanlage;-;-;-;514,00;gewidmet;08100419;Treptower Straße Nord
00008100_000a6d02;00008100:000a6d02;431.701;Neukölln;Neukölln;Grünanlage;Herrfurthplatz-Grünanlage;-;-;-;5280,00;-;08100102;Schillerpromenade Nord
