original_id,name,address,postal_code,district,latitude,longitude,operator,capacity,source,created_at,updated_at
1782,Kita Streustraße,"Streustraße 39 - 41, 13086 Berlin",13086.0,Weißensee,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1783,Kita Fridolin,"Max-Beer-Straße 24-26, 10119 Berlin",10119.0,Nan,Unknown,Unknown,Kindergärten City,190.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1784,Kita Windspiel,"Frankfurter Allee 16a, Berlin",Unknown,Nan,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1785,Kita Märchenhaus,"Rudolf-Leonhard-Straße 10, 12679 Berlin",12679.0,Nan,Unknown,Unknown,Schwemler GmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1786,"Kita ""Kesse Früchtchen""","Wandlitzstraße 6, 10318 Berlin",10318.0,Karlshorst,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1787,Sternchen,"Titlisweg 60, 12107 Berlin",12107.0,Mariendorf,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1788,Kindertagesstätte Am Wegabogen,Unknown,Unknown,Nan,Unknown,Unknown,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V.,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1789,Villa Mima,Unknown,Unknown,Nan,Unknown,Unknown,Kita Mima GmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1790,Kita Kleiner Fratz Karolinenhof,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1791,Kita Varus Sol,"Dannenwalder Weg 95-97, 13439 Berlin",13439.0,Märkisches Viertel,Unknown,Unknown,BiZ – Betreuung im Zentrum gGmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1792,"Kita ""Himpelchen & Pimpelchen""","Hellersdorfer Promenade 36, 12627 Berlin",12627.0,Hellersdorf,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1793,Kita Kleine Kapitäne,"Hellersdorfer Promenade 23, 12627 Berlin",12627.0,Hellersdorf,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1794,Humanistische Kindertagesstätte Pro-Dia,"Landreiterweg 55, 12353 Berlin",12353.0,Buckow,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1795,Outlaw Kita Heerstraße,"Heerstraße 570, 13591 Berlin",13591.0,Staaken,Unknown,Unknown,Outlaw,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1796,Kita Wiesenweg,"Wiesenweg 20, 13591 Berlin",13591.0,Staaken,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1797,Krippe Haveleckchen,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1798,Kita Kleine Traber,Unknown,Unknown,Nan,Unknown,Unknown,Volkssolidarität Landesverband Berlin e.V.,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1799,Kita Mini-Mix-International,"Briesestraße 73-75, 12053 Berlin",12053.0,Nan,Unknown,Unknown,Jugend- und Sozialwerk gGmbH,280.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1800,Evangelische Kindertagesstätte Kita am Buschgraben,"Ludwigsfelder Straße 51, 14165 Berlin",14165.0,Zehlendorf,Unknown,Unknown,Ev. Paulus-Kirchengemeinde Zehlendorf,70.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1801,Kindergarten Holsteiner Ufer 12,"Holsteiner Ufer 12, 10557 Berlin",10557.0,Hansaviertel,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1802,Hexenkleckshausen / Elements,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1803,"Kita - Erknerstraße ""Villa Kunterbunt""","Erknerstraße 46, 12589 Berlin",12589.0,Rahnsdorf,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1804,"Kita ""Sonnenblümchen""","Vincent-van-Gogh-Straße 38, 13057 Berlin",13057.0,Neu-Hohenschönhausen,Unknown,Unknown,pad gGmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1805,Kita Bunte Spieltruhe,Unknown,Unknown,Nan,Unknown,Unknown,Kindergärten NordOst,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1806,Die Slups,Unknown,Unknown,Nan,Unknown,Unknown,Kreativitätsschulzentrum Berlin gGmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1807,Kita Am Treptower Park,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,125.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1808,Kita Gänseblümchen,"Dietzgenstraße 25, 13156 Berlin",13156.0,Nan,Unknown,Unknown,Kita Gänseblümchen gGmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
