area_id,area_name,Straftaten -insgesamt-,Raub,"Straßenraub, Handtaschen-raub",Körper-verletzungen -insgesamt-,Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Diebstahl -insgesamt-,Diebstahl von Kraftwagen,Diebstahl an/aus Kfz,Fahrrad- diebstahl,Wohnraum- einbruch,Branddelikte -insgesamt-,Brand- stiftung,Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten,year,data_type
63006,Drakestraße,6501.616368491857,32.12657872015742,18.071200530088547,568.2388611127843,122.48258137060016,333.3132542216332,2790.9965263136755,242.95725157119048,491.93823665241047,415.6376121920366,267.0521856113085,42.16613457020661,12.047467020059031,989.9002068148504,50.197779250245965,90.35600265044273,1698.6928498283235,2024,frequency
64007,Zehlendorf Südwest,9184.935356942102,37.474236462432074,18.737118231216037,685.778527262507,153.64436949597152,430.9537193179689,3492.5988382986698,134.90725126475547,648.3042908000749,472.17537942664416,385.9846355630504,63.70620198613453,29.979389169945662,1959.9025669851976,824.4332021735057,93.68559115608019,2031.1036162638186,2024,frequency
64008,Zehlendorf Nord,8038.982537129001,58.28728637709543,41.96684619150871,503.6021542981045,114.24308129910703,268.12151733463895,3758.364225595113,184.18782495162154,718.0993681658157,547.900491944697,564.2209321302837,37.30386328134107,16.32044018558672,1154.0882702664894,263.45853442447134,186.51931640670537,1774.2649973187847,2024,frequency
69900,"Bezirk (St-Zd), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,frequency
70000,Tempelhof-Schöneberg,11393.55041757056,94.9790371710859,56.20061371070172,1122.8882619398203,273.6969887711174,563.4111524497847,5275.551609023571,237.72859599626827,902.5818561938696,700.5406499038969,223.67844256859283,47.48951858554295,14.05015342767543,998.9659087077231,188.83406206795777,339.7327098811919,3056.470376656513,2024,frequency
71001,Schöneberg Nordwest,28031.196499904887,338.59615750428,178.80920677192316,2537.5689556781435,700.0190222560395,897.850485067529,16199.353243294654,251.09377972227506,2252.235115084649,1696.7852387293133,258.7026821381016,79.89347536617842,30.435609663306067,1974.510176906981,201.6359140194027,840.7837169488301,8145.330036142286,2024,frequency
71002,Schöneberg Nordost,12722.338204592903,125.26096033402924,58.455114822546975,985.3862212943634,283.9248434237996,434.2379958246347,6951.983298538623,125.26096033402924,997.9123173277662,1260.9603340292276,204.59290187891443,54.27974947807934,16.701461377870565,1277.6617954070982,258.87265135699374,288.10020876826724,3448.8517745302715,2024,frequency
72003,Schöneberg Südwest,9672.71701307251,79.93981002539265,65.83278472679395,1006.3011379667074,282.14050597197405,738.267657293332,4754.067525627763,141.07025298598703,789.9934167215273,888.7425938117183,253.92645537477665,37.61873412959654,9.404683532399135,851.1238596821217,117.55854415498919,164.58196181698486,3197.592401015706,2024,frequency
72004,Schöneberg Südost,16634.920634920632,104.76190476190476,47.61904761904761,1711.111111111111,492.06349206349205,574.6031746031746,7117.460317460317,152.38095238095238,758.7301587301587,1330.1587301587301,139.68253968253967,63.49206349206349,15.873015873015872,1330.1587301587301,453.9682539682539,339.68253968253964,3514.285714285714,2024,frequency
73005,Friedenau West,7400.141254021816,47.084673938632974,35.31350545397473,690.575217766617,113.78796201836302,321.745271913992,3998.2735619555833,149.10146747233776,455.1518480734521,1106.4898375578748,282.5080436317978,15.694891312877658,7.847445656438829,718.0412775641529,149.10146747233776,94.16934787726595,1961.8614141097073,2024,frequency
73006,Friedenau Ost,8737.458193979934,97.5473801560758,46.45113340765515,636.3805276848756,167.22408026755852,548.1233742103308,4575.436640654032,339.0932738758826,692.1218877740617,901.1519881085098,134.70828688219993,60.38647342995169,27.870680044593087,854.7008547008547,106.83760683760684,176.51430694908956,2489.780750650316,2024,frequency
74007,Tempelhof Nord,15308.078976006633,103.64305332435093,67.3679846608281,1559.8279525314815,310.9291599730528,963.8803959164636,5368.710162201378,176.19319065139658,1015.701922578639,621.8583199461056,212.4682593149194,46.63937399595792,5.182152666217546,1269.6274032232989,399.02575529875105,891.330258589418,4524.0192776079175,2024,frequency
74008,Tempelhof Südwest,11779.730592635387,88.18074011007388,63.85501870039833,1164.5939124882173,273.66436585885,519.962295131815,4886.429288168577,270.6236506826406,1046.0060206160488,516.9215799556056,133.79146775321556,66.89573387660778,21.28500623346611,1064.2503116733055,285.82722656368776,1143.308906254751,2827.865113874783,2024,frequency
74009,Tempelhof Südost,14442.853423587607,84.6133819317886,52.06977349648529,1314.7617807862537,397.03202291070033,670.3983337672481,6651.913564175996,514.1890132777922,1815.9333506899245,462.11923978130693,214.78781567300183,71.59593855766727,39.05233012236397,1112.991408487373,130.17443374121322,266.8575891694871,3410.5701640197863,2024,frequency
75010,Mariendorf Nord,8028.545941123996,27.68464117628964,12.304284967239841,809.0067365960196,169.18391829954783,464.486757513304,3254.483373834938,221.47712941031713,695.192100649051,218.40105816850718,190.71641699221755,49.217139868959364,15.3803562090498,698.268171890861,64.59749607800917,110.73856470515857,2088.652373188963,2024,frequency
