station_id,station,line,latitude,longitude,district,district_id
196,S Adlershof (Berlin),"['S41', 'S45', 'S46', 'S8', 'S85', 'S9']",52.434946,13.541382,Treptow-Köpenick,11009009
197,S Stresow (Berlin),"['S3', 'S9']",52.531988,13.209206,Spandau,11005005
230,S Olympiastadion (Berlin),['S5'],52.511565,13.242684,Charlottenburg-Wilmersdorf,11004004
231,S Olympiastadion (Berlin),['S3'],52.511727,13.242607,Charlottenburg-Wilmersdorf,11004004
232,S+U Gesundbrunnen Bhf (Berlin),"['S1', 'S2', 'S25', 'S41', 'S42']",52.549019,13.388385,Mitte,11001001
233,S Humboldthain (Berlin),"['S1', 'S2', 'S25', 'S41', 'S42']",52.54457,13.378451,Mitte,11001001
234,S Bornholmer Str. (Berlin),"['S1', 'S2', 'S8']",52.554898,13.393573,Mitte,11001001
238,S+U Wedding (Berlin),"['S41', 'S42', 'S46']",52.543042,13.367693,Mitte,11001001
239,S+U Wedding (Berlin),"['S41', 'S42', 'S46']",52.543102,13.367604,Mitte,11001001
240,S+U Schönhauser Allee (Berlin),"['S41', 'S42']",52.549545,13.413923,Pankow,11003003
241,S Blankenburg (Berlin),"['S2', 'S8']",52.590922,13.442374,Pankow,11003003
245,S Heiligensee (Berlin),['S25'],52.625199,13.229701,Reinickendorf,11012012
246,S Pankow-Heinersdorf (Berlin),"['S2', 'S8']",52.57726,13.428149,Pankow,11003003
247,S Karow Bhf (Berlin),['S2'],52.615426,13.470859,Pankow,11003003
248,S+U Pankow (Berlin),"['S2', 'S8']",52.565793,13.412278,Pankow,11003003
249,S Springpfuhl (Berlin),['S75'],52.525814,13.535266,Marzahn-Hellersdorf,11010010
250,S Buch (Berlin),['S2'],52.637134,13.491959,Pankow,11003003
251,S Spindlersfeld (Berlin),['S47'],52.445913,13.563519,Treptow-Köpenick,11009009
252,S Schöneweide Bhf (Berlin),['S47'],52.455897,13.510494,Treptow-Köpenick,11009009
256,Alt-Buch (Berlin),['S2'],52.636848,13.502959,Pankow,11003003
259,S Lankwitz (Berlin),['S25'],52.438752,13.343763,Steglitz-Zehlendorf,11006006
260,S Humboldthain (Berlin),"['S1', 'S2', 'S25', 'S26']",52.544883,13.379364,Mitte,11001001
261,S Humboldthain (Berlin),"['S1', 'S2', 'S25', 'S26']",52.544856,13.379497,Mitte,11001001
262,S Zehlendorf (Berlin),['S1'],52.430997,13.258035,Steglitz-Zehlendorf,11006006
263,S Zehlendorf (Berlin),['S1'],52.430876,13.25814,Steglitz-Zehlendorf,11006006
