pool_id,name,pool_type,street,postal_code,city,latitude,longitude,open_all_year
9959,Kleine Badewiese,Natürliche Badestelle,Am Wiesenhaus 8,14089,Berlin,52.483144,13.185883,False
9961,Kleiner Müggelsee,Natürliche Badestelle,Hinter der Düne 8,12559,Berlin,52.42837,13.677193,False
9962,Krumme Lanke,Natürliche Badestelle,Unknown,14163,Berlin,52.452258,13.233758,False
9963,Lieper Bucht,Natürliche Badestelle,Havelchaussee 2,14193,Berlin,52.469353,13.196756,False
10223,DRK Kliniken Berlin,Klinikbad,Britzer Straße 91,12109,Berlin,52.439755737656,13.397093152932,False
10224,Wannseeschule,Schulbad,Zum Heckeshorn 36 ,14109,Berlin,52.430555890989,13.161793621188,False
10231,Evangelisches Hubertuskrankenhaus,Klinikbad,Spanische Allee 10-14,14129,Berlin,52.431207767807,13.219199007359,True
10232,Schwimmbad Berlin Steglitz,Hallenbad,Grunewaldstraße 14a,12165,Berlin,52.459351100537,13.31478191951,True
10238,Badestelle Reiherwerder am Forsthaus,Natürliche Badestelle,Schwarzer Weg 69,13505,Berlin,52.585398129862,13.255379600268,False
10504,Badestelle Reiswerder,Natürliche Badestelle,Bernauer Straße 160,13507,Berlin,52.56826,13.256,False
10505,Badestelle Saatwinkel,Natürliche Badestelle,Im Saatwinkel 65,13599,Berlin,52.56234,13.24679,True
10506,Badestelle Scharfenberg,Natürliche Badestelle,Schwarzer Weg 99,13505,Berlin,52.57552,13.24402,True
10507,Badestelle Schmöckwitz,Natürliche Badestelle,Wernsdorfer Straße 30,12527,Berlin,52.37322,13.65275,True
10508,Seddinsee,Natürliche Badestelle,Seddinpromenade,12527,Berlin,52.38848,13.68237,True
10509,Freibad Tegeler See,Naturbad,Schwarzer Weg 21,13505,Berlin,52.57837,13.24602,False
10510,Freibad Wendenschloss,Naturbad,Möllhausenufer 30,12557,Berlin,52.41499,13.6003,False
