id,name,address,postal_code,district,latitude,longitude,operator,capacity,source,created_at,updated_at
953,Kindertagespflege Windelflitzer,"Kärntener Straße 29, 10827 Berlin",10827,Schöneberg,52.4804977,13.347445,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
954,Kita Estrellitas,"Kärntener Straße 25, 10827 Berlin",10827,Schöneberg,52.4790958,13.347855,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
955,Umme Ecke,Unknown,Unknown,Nan,52.5060031,13.2928233,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
956,"Kindergarten ""Zum guten Hirten""","Bundesallee 76a, 12161 Berlin",12161,Friedenau,52.4708061,13.327969,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
957,Kita Grunewaldstraße,"Ermanstraße 26, 12163 Berlin",12163,Steglitz,52.4594932,13.3140264,Kant-Kindergarten gGmbH,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
958,Kinder- und Schülerladen Milchzahn,"Bundesallee 76, 12161 Berlin",12161,Friedenau,52.4709495,13.3280256,EKT Milchzahn e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
959,Montessori-Kinderhaus im IBZ,"Wiesbadener Straße 18, 14197 Berlin",14197,Wilmersdorf,52.4718964,13.3185831,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
960,Kita Rubin,"Handjerystraße 60, 12161 Berlin",12161,Friedenau,52.4689308,13.3299392,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
961,Kita Prinz Rose,"Nogatstraße 45, 12051 Berlin",12051,Neukölln,52.4696638,13.4357168,Orte für Kinder,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
962,Schülerladen Große Pause,"Schwalbacher Straße 7, 12161 Berlin",12161,Friedenau,52.4700411,13.3207452,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
963,Kindergarten Happy Kids,"Kreuznacher Straße 9, 14197 Berlin",14197,Steglitz,52.4669055,13.319136,Happy Kids gGmbH,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
964,Schülerladen Eisbären,"Odenwaldstraße 26, 12161 Berlin",12161,Friedenau,52.4687155,13.3265408,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
965,Himpelchen & Pimpelchen,"Koburger Straße 4, 10825 Berlin",10825,Schöneberg,52.4813021,13.3465303,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
966,Kita Aurorafalter,"Dovestraße 3d, 10587 Berlin",10587,Nan,52.5204869,13.3196886,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
967,Kita Spreekinder 1,"Griechische Allee 1, 12459 Berlin",12459,Oberschöneweide,52.4648862,13.5138867,kijufa gGmbH,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
968,mi nido,Unknown,Unknown,Nan,52.4979207,13.2997951,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
969,Dolgensee Kids,Unknown,Unknown,Nan,52.4941825,13.5069902,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
970,KitaHausburg,"Thaerstraße 28B, 10249 Berlin",10249,Prenzlauer Berg,52.5240554,13.4573638,MiniKitas First gGmbH,23.0,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
971,Konsti e.V.,Unknown,Unknown,Nan,52.5541064,13.3513152,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
972,"Kita ""Gartenkinder""","Irmfriedstraße 64, 12683 Berlin",12683,Biesdorf,52.534004,13.5729459,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
973,Kita Tautropfen,"Steglitzer Damm 69a, 12169 Berlin",12169,Steglitz,52.4501946,13.3485249,AWO pro:mensch gGmbH,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
974,Kita die kleinen Grünschnäbel III,Unknown,Unknown,Nan,52.4480638,13.3061017,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
975,Baum und Borke,Unknown,Unknown,Nan,52.641878,13.4899232,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
976,Oskar der Baum & seine Freunde,"Joachim-Friedrich-Straße 29, 10711 Berlin",10711,Halensee,52.5010974,13.2969201,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
977,Kita Grashüpferchen,"Mariendorfer Damm 336, 12107 Berlin",12107,Mariendorf,52.4236726,13.3951907,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
978,Musikkita Kleiner Fratz,"Karl-Marx-Straße 145, 12043 Berlin",12043,Neukölln,52.4767068,13.4394137,Kleiner Fratz gGmbH,70.0,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
979,Kita Zitterbacke,Unknown,Unknown,Nan,52.5857206,13.4023069,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
980,Netzwerkhort,"Christburger Straße 7, 10405 Berlin",10405,Nan,52.536028,13.4256762,Netzwerk Spiel/Kultur Prenzlauer Berg e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
981,Hort im Gartenhaus,"Winsstraße 49, 10405 Berlin",10405,Nan,52.5355556,13.4256788,Netzwerk Spiel/Kultur Prenzlauer Berg e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
982,KiTa Kleine Wölkchen,Unknown,Unknown,Nan,52.5592583,13.3848095,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
