kindergarten_id,district_id,name,address,postal_code,phone_number,email,website,coordinates,latitude,longitude,neighborhood,district,operator,capacity,source,created_at,updated_at
80,05,Integrationskinderladen Drunter & Drüber,"Stromstraße 58, 10551 Berlin",10551,,,,"52.5275438,13.3429994",52.5275438,13.3429994,Mitte,Mitte,EKT - Heilpädagogischer Integrationskinderladen Drunter & Drüber e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
81,01,Drunter und Drüber,"Neufertstraße 12, 14059 Berlin",14059,,,,"52.5176797,13.2942317",52.5176797,13.2942317,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Drunter und Drüber e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
82,05,Kila Frecher Spatz,"Elberfelder Straße 18, 10555 Berlin",10555,,,,"52.5216126,13.3356677",52.5216126,13.3356677,Mitte,Mitte,Frecher Spatz e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
83,09,EKT - Förderverein christlicher Kindererziehung e.V.,Unknown,0,,,,"52.5164659,13.1952586",52.5164659,13.1952586,Spandau,Spandau,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
84,01,Kinderladen Flitzpiepen,"Holtzendorffstraße 14, 14057 Berlin",14057,,,,"52.5049186,13.2948594",52.5049186,13.2948594,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Kinderladen Flitzpiepen e. V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
85,05,Katz&Kedi Kinderladen,"Jagowstraße 28, 10555 Berlin",10555,,,,"52.5234054,13.3338166",52.5234054,13.3338166,Mitte,Mitte,Verein Frecher Spatz e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
86,01,EKT - Firlefanz e.V.,Unknown,0,,,,"52.505181,13.2993874",52.505181,13.2993874,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
87,11,Kindertagesstätte Fidibus,Unknown,0,,,,"52.4929437,13.3518427",52.4929437,13.3518427,Tempelhof-Schöneberg,Tempelhof-Schöneberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
88,01,EKT - Georg-Wilhelm-Kindergruppe e.V.,"Joachim-Friedrich-Straße 48, 10711 Berlin",10711,,,,"52.496684,13.2957982",52.496684,13.2957982,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
89,07,Kinderladen Garuda,"Kreuzstraße 5, 13187 Berlin",13187,,,,"52.5687747,13.3978691",52.5687747,13.3978691,Pankow,Pankow,Garuda e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
90,01,Kinderladen Charlottenburg,"Galvanistraße 14, 10587 Berlin",10587,,,,"52.5190368,13.3158255",52.5190368,13.3158255,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,EKT Galvanistaße 14 e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
91,12,Der Friedrichshagener Kinderladen,"Drachholzstraße 2, 12587 Berlin",12587,,,,"52.4527716,13.6266929",52.4527716,13.6266929,Treptow-Köpenick,Treptow-Köpenick,Der Friedrichshagener Kinderladen e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
92,06,EKT - Hasenreiter e.V.,"Herrfurthplatz 4, 12049 Berlin",12049,,,,"52.4775212,13.4215214",52.4775212,13.4215214,Neukölln,Neukölln,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
93,01,Kita Canicas,"Friedbergstraße 41, 14057 Berlin",14057,,,,"52.5036346,13.2922663",52.5036346,13.2922663,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,canicas e. V,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
94,02,EKT Herzlichtgarten e.V.,"Hasenheide 51, 10967 Berlin",10967,,,,"52.489024,13.4105247",52.489024,13.4105247,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
95,08,Schubarts Lieblingskinder,"Schubartstraße 44, 13509 Berlin",13509,,,,"52.5838052,13.3035453",52.5838052,13.3035453,Reinickendorf,Reinickendorf,Lieblingskinder gemeinnützige UG,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
96,10,EKT - Hort der Rudolf-Steiner-Schule e.V.,Unknown,0,,,,"52.4560187,13.2746532",52.4560187,13.2746532,Steglitz-Zehlendorf,Steglitz-Zehlendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
97,01,EKT - Hoppel-Poppel,"Galvanistraße 15, 10587 Berlin",10587,,,,"52.5187405,13.315822",52.5187405,13.315822,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,EKT - Hoppel-Poppel e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
98,02,EKT - Hollerbusch e.V.,"Reichenberger Straße 99, 10999 Berlin",10999,,,,"52.4932341,13.4389039",52.4932341,13.4389039,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
99,08,EKT - Hokus Pokus e.V.,Unknown,0,,,,"52.5860307,13.2803308",52.5860307,13.2803308,Reinickendorf,Reinickendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
100,07,EKT - Grashüpfer e.V.,Unknown,0,,,,"52.5462692,13.4103826",52.5462692,13.4103826,Pankow,Pankow,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
101,11,Kinderladen Großstadtpflänzchen,"Cranachstraße 39/40, 12157 Berlin",12157,,,,"52.4643766,13.34284",52.4643766,13.34284,Tempelhof-Schöneberg,Tempelhof-Schöneberg,EKT Großstadtpflänzchen e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
102,02,Kinderladen Guten Tag Kinder,"Fürbringerstraße 27, 10961 Berlin",10961,,,,"52.493261,13.3958986",52.493261,13.3958986,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,Guten Tag Kinder e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
103,10,Kindergarten Happy Kids,"Gritznerstraße 33, 12163 Berlin",12163,,,,"52.4633618,13.3158886",52.4633618,13.3158886,Steglitz-Zehlendorf,Steglitz-Zehlendorf,Happy Kids gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
