,index,stop_id,district_id,name,address,latitude,longitude,neighborhood,district
417,422,900110031,11003003,Caligariplatz (Berlin),"Caligariplatz, 13086 Berlin, Germany",52.551955,13.431062,Heinersdorf,Pankow
418,423,900049157,11006006,Camphausenstr. (Berlin),"Camphausenstr., 14165 Berlin, Germany",52.428137,13.251682,Zehlendorf,Steglitz-Zehlendorf
419,424,900135018,11003003,Campus Buch (Berlin),"Campus Buch, 13125 Berlin, Germany",52.6251,13.502085,Buch,Pankow
420,425,900135017,11003003,Campus Buch Nord (Berlin),"Campus Buch Nord, 13125 Berlin, Germany",52.626925,13.5048,Buch,Pankow
421,426,900063203,11006006,Carmerplatz (Berlin),"Birkbuschstraße 3, 12167 Berlin, Germany",52.452354,13.320324,Lankwitz,Steglitz-Zehlendorf
422,427,900066201,11006006,Carstennstr./Ringstr. (Berlin),"Carstennstr./Ringstr., 12205 Berlin, Germany",52.432713,13.287073,Dahlem,Steglitz-Zehlendorf
423,428,900027207,11005005,Cautiusstr. (Berlin),"Cautiusstr., 13587 Berlin, Germany",52.562508,13.196875,Falkenhagener Feld,Spandau
424,429,900060107,11007007,Ceciliengärten (Berlin),"Rubensstraße 24, 12159 Berlin, Germany",52.475025,13.343075,Friedenau,Tempelhof-Schöneberg
425,430,900171010,11010010,Cecilienstr./Blumberger Damm (Berlin),"Cecilienstraße 141, 12683 Berlin, Germany",52.529077,13.565765,Biesdorf,Marzahn-Hellersdorf
426,431,900175538,11010010,Cecilienstr./Hellersdorfer Str. (Berlin),"Cecilienstr./Hellersdorfer Str., 12619 Berlin, Germany",52.524358,13.587789,Hellersdorf,Marzahn-Hellersdorf
427,432,900171522,11010010,Cecilienstr./Oberfeldstr. (Berlin),"Cecilienstraße 67, 12683 Berlin, Germany",52.529634,13.55807,Biesdorf,Marzahn-Hellersdorf
428,433,900171520,11010010,Cecilienstr./Wuhle (Berlin),"Cecilienstr./Wuhle, 12683 Berlin, Germany",52.526219,13.577002,Biesdorf,Marzahn-Hellersdorf
429,434,900064205,11006006,Celsiusstr. Nord (Berlin),"Celsiusstr. Nord, 12207 Berlin, Germany",52.416209,13.315928,Lichterfelde,Steglitz-Zehlendorf
430,435,900064273,11006006,Celsiusstr. Süd (Berlin),"Celsiusstr. Süd, 12207 Berlin, Germany",52.410977,13.31413,Lichterfelde,Steglitz-Zehlendorf
431,436,900132527,11003003,Champagneweg (Berlin),"Champagneweg, 13159 Berlin, Germany",52.604326,13.411205,Blankenfelde,Pankow
432,437,900066410,11006006,Charité - Campus Benjamin Franklin (Berlin),"Hindenburgdamm 95A, 12203 Berlin, Germany",52.441019,13.316081,Dahlem,Steglitz-Zehlendorf
433,438,900100542,11001001,Charité - Campus Mitte (Berlin),"Charité - Campus Mitte, 10117 Berlin, Germany",52.52576,13.379086,Tiergarten,Mitte
434,439,900012154,11002002,Charlottenstr. (Berlin),"Rudi-Dutschke-Straße 17, 10969 Berlin, Germany",52.506883,13.393532,Kreuzberg,Friedrichshain-Kreuzberg
435,440,900053259,11005005,Charlottenstr./Chausseestr. (Berlin),"Charlottenstraße 6, 14109 Berlin, Germany",52.41548,13.145618,Kladow,Spandau
436,441,900180504,11009009,Chausseehaus (Berlin),"Chausseehaus, 12559 Berlin, Germany",52.430043,13.614936,Altglienicke,Treptow-Köpenick
437,442,900175008,11010010,Chemnitzer Str./Jägerstr. (Berlin),"Chemnitzer Str. 213, 12621 Berlin, Germany",52.486055,13.574224,Kaulsdorf,Marzahn-Hellersdorf
438,443,900068355,11007007,Chlodwigstr. (Berlin),"Chlodwigstr., 12105 Berlin, Germany",52.452813,13.371832,Mariendorf,Tempelhof-Schöneberg
439,444,900077204,11009009,Chris-Gueffroy-Allee (Berlin),"Chris-Gueffroy-Allee, 12057 Berlin, Germany",52.460804,13.472196,Baumschulenweg,Treptow-Köpenick
440,445,900038254,11005005,Christoph-Kolumbus-Str. (Berlin),"Kladower Damm 343, 14089 Berlin, Germany",52.467357,13.165583,Gatow,Spandau
441,446,900143510,11003003,Chronisteneck (Berlin),"Achillesstraße 31, 13125 Berlin, Germany",52.620776,13.485833,Buch,Pankow
442,447,900052304,11006006,Clauertstr. (Berlin),"Clauertstr., 14163 Berlin, Germany",52.427418,13.229658,Nikolassee,Steglitz-Zehlendorf
443,448,900051310,11004004,Clayallee/Oskar-Helene-Park (Berlin),"Clayallee 225, 14195 Berlin, Germany",52.448417,13.269355,Grunewald,Charlottenburg-Wilmersdorf
444,449,900069251,11008008,Colditzstr. (Berlin),"Berlin, Colditzstr., 12099 Berlin, Germany",52.457829,13.392795,Britz,Neukölln
445,450,900069207,11007007,Colditzstr./Ullsteinstr. (Berlin),"Ullsteinstraße 72, 12109 Berlin, Germany",52.453109,13.396498,Mariendorf,Tempelhof-Schöneberg
446,451,900195525,11009009,Coloniaallee (Berlin),"Berlin, Coloniaallee, 12524 Berlin, Germany",52.404172,13.541548,Altglienicke,Treptow-Köpenick
447,452,900069101,11002002,Columbiadamm/Friesenstr. (Berlin),"Berlin, Columbiadamm/Friesenstr., 10965 Berlin, Germany",52.484122,13.394476,Kreuzberg,Friedrichshain-Kreuzberg
448,453,900017181,11002002,Columbiadamm/Platz der Luftbrücke (Berlin),"Columbiadamm/Platz der Luftbrücke, 10965 Berlin, Germany",52.484509,13.389019,Kreuzberg,Friedrichshain-Kreuzberg
449,454,900110027,11003003,Conrad-Blenkle-Str. (Berlin),"Conrad-Blenkle-Str., 10407 Berlin, Germany",52.534102,13.444671,Prenzlauer Berg,Pankow
450,455,900053260,11005005,Conradstr. (Berlin),"Conradstr., 14109 Berlin, Germany",52.420173,13.161583,Kladow,Spandau
451,456,900096153,11012012,Conradstr./Ernststr. (Berlin),"Ernststraße 53, 13509 Berlin, Germany",52.583219,13.300026,Borsigwalde,Reinickendorf
452,457,900005102,11004004,Corneliusbrücke (Berlin),"Corneliusbrücke, 10787 Berlin, Germany",52.50762,13.348667,Charlottenburg,Charlottenburg-Wilmersdorf
453,458,900063154,11006006,Cranachstr. (Berlin),"Thorwaldsenstraße 5, 12157 Berlin, Germany",52.462728,13.343246,Steglitz,Steglitz-Zehlendorf
454,459,900072191,11006006,Culemeyerstr. (Berlin),"Culemeyerstr., 12277 Berlin, Germany",52.416739,13.39284,Lankwitz,Steglitz-Zehlendorf
455,460,900260607,11009009,Campingplatz Krossinsee (Berlin),"Campingplatz Krossinsee, 12527 Berlin, Germany",52.370615,13.682832,Grünau,Treptow-Köpenick
456,461,900074251,11006006,Cecilienstr./Blohmstr. (Berlin),"Cecilienstr./Blohmstr., 12307 Berlin, Germany",52.388648,13.388642,Lichtenrade,Steglitz-Zehlendorf
457,462,900046153,11004004,Cunostr. (Berlin),"Forckenbeckstraße/Cunostraße, 14199 Berlin, Germany",52.481156,13.295801,Schmargendorf,Charlottenburg-Wilmersdorf
458,463,900009206,11001001,Drontheimer Str. (Berlin),"Osloer Str. 30, 13359 Berlin, Germany",52.55653,13.377549,Gesundbrunnen,Mitte
459,464,900170520,11011011,Dingelstädter Str. (Berlin),"Dingelstädter Str., 13053 Berlin, Germany",52.536736,13.524792,Alt-Hohenschönhausen,Lichtenberg
460,465,900182504,11009009,Drachholzstr. (Berlin),"Drachholzstr. (Berlin), 12587 Berlin, Germany",52.453936,13.625094,Friedrichshagen,Treptow-Köpenick
461,466,900180518,11009009,Dregerhoffstr. (Berlin),"Dregerhoffstr., 12557 Berlin, Germany",52.427499,13.585245,Köpenick,Treptow-Köpenick
462,467,900080603,11008008,Dachdeckerweg (Berlin),"Dachdeckerweg 2, 12351 Berlin, Germany",52.431994,13.435565,Britz,Neukölln
463,468,900049208,11006006,Dahlemer Weg (Berlin),"Dahlemer Weg, 14167 Berlin, Germany",52.432146,13.278632,Zehlendorf,Steglitz-Zehlendorf
464,469,900176011,11010010,Dahlwitzer Str./Greifswalder Str. (Berlin),"Dahlwitzer Str./Greifswalder Str., 12623 Berlin, Germany",52.527216,13.644142,Kaulsdorf,Marzahn-Hellersdorf
465,470,900018153,11004004,Dahrendorfzeile (Berlin),"Heilmannring 49, 13627 Berlin, Germany",52.535145,13.289041,Charlottenburg,Charlottenburg-Wilmersdorf
