,bank_id,name,brand,operator,street,housenumber,postcode,opening_hours,atm,wheelchair,latitude,longitude,district,district_id
112,514784167,deutsche bank,deutsche bank,nan,frankfurter allee,113-117,10365,"mo,tu,th 10:00-12:30, we,fr 10:00-14:00; ph off, mo,tu,th 14:00-18:00",true,true,52.5140938,13.4771868,Lichtenberg,11011011
113,520518096,hypovereinsbank,hypovereinsbank,nan,leibnizstraße,100,10625,"mo,we,fr 10:00-13:00; tu,th 10:00-13:00,15:30-18:00; sa-su,ph off",true,true,52.5123669,13.314511,Charlottenburg-Wilmersdorf,11004004
114,520518112,commerzbank,commerzbank,commerzbank ag,uhlandstraße,9,10623,mo-fr 08:00-19:30,true,true,52.5060841,13.3255831,Charlottenburg-Wilmersdorf,11004004
115,534020277,sparkasse,nan,berliner sparkasse,schnellerstraße,128,12439,"mo,we,fr 09:30-15:00; tu,th 09:30-13:30,15:00-18:00",true,true,52.4565864,13.5103657,Treptow-Köpenick,11009009
116,534893143,weberbank,nan,nan,nan,nan,nan,mo-th 09:00-18:00; fr 09:00-16:00,true,true,52.4833445,13.2927933,Charlottenburg-Wilmersdorf,11004004
117,540771894,n26 bank gmbh,nan,nan,klosterstraße,62,10179,mo-sa 07:00-21:00,false,unknown,52.5160389,13.4125772,Mitte,11001001
118,554098383,commerzbank,commerzbank,nan,nan,nan,nan,"mo-fr 09:00-13:00, tu,th 14:00-16:00",true,true,52.5424561,13.4898888,Lichtenberg,11011011
119,560436662,berliner volksbank,berliner volksbank,berliner volksbank eg,baumschulenstraße,96,12437,"mo-fr 10:00-13:00, mo 14:00-16:00, tu,th 14:00-18:00",true,false,52.4672823,13.4888286,Treptow-Köpenick,11009009
120,574458715,deutsche bank quartier zukunft,deutsche bank,nan,friedrichstraße,181,10117,mo-sa 10:00-18:00; ph closed,unknown,true,52.5126012,13.3893178,Mitte,11001001
121,588557534,berliner volksbank,berliner volksbank,nan,berliner allee,19,13088,mo-su 06:00-23:00,true,true,52.5479896,13.4497608,Pankow,11003003
122,588557537,targobank,targobank,targobank,berliner allee,36,13088,"mo-fr 10:00-13:00, tu 14:00-18:00",true,true,52.5482051,13.4514665,Pankow,11003003
123,597276443,commerzbank,commerzbank,nan,nan,nan,nan,"mo-th 09:00-13:00, fr 09:00-14:00, mo,we 14:00-16:00, tu,th 14:30-18:00",true,true,52.5634416,13.3278923,Reinickendorf,11012012
124,610317477,commerzbank,commerzbank,commerzbank,bahnhofstraße,nan,12305,"mo-fr 09:00-13:00, tu,th 14:00-18:00",true,true,52.3868293,13.4040655,Tempelhof-Schöneberg,11007007
125,616300424,postbank,postbank,nan,wilmersdorfer straße,46,10627,"mo-fr 09:00-18:00; sa 10:00-14:00; su,ph off",unknown,true,52.5088354,13.3044726,Charlottenburg-Wilmersdorf,11004004
126,622663107,sparda-bank berlin,sparda-bank berlin,sparda-bank berlin eg,nan,nan,nan,"mo-th 09:00-13:00,14:00-18:00, we,fr 09:00-13:00; ph off",true,unknown,52.5460255,13.5924192,Marzahn-Hellersdorf,11010010
127,643509398,sparkasse,nan,berliner sparkasse,badstraße,4,13357,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5493977,13.3888512,Mitte,11001001
128,652431954,commerzbank,commerzbank,nan,johannisthaler chaussee,307,12351,"mo,we 09:00-13:00,14:00-16:00; tu,th 09:00-13:00,14:30-18:00; fr 09:00-14:00",true,true,52.4295618,13.4552885,Neukölln,11008008
129,652718726,gries & heissel bankiers,nan,nan,nan,nan,nan,unknown,unknown,unknown,52.4891489,13.289254,Charlottenburg-Wilmersdorf,11004004
130,652724916,sparkasse,nan,berliner sparkasse,breite straße,12,14199,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.474255,13.2949251,Charlottenburg-Wilmersdorf,11004004
131,656210656,sparkasse,nan,berliner sparkasse,brunsbütteler damm,261-263,13591,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5325968,13.1578795,Spandau,11005005
132,660065068,sparkasse,nan,berliner sparkasse,mariendorfer damm,446,12107,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.4147231,13.4006215,Tempelhof-Schöneberg,11007007
133,660065069,deutsche bank,deutsche bank,deutsche bank,mariendorfer damm,444,12107,unknown,true,true,52.4150801,13.4004923,Tempelhof-Schöneberg,11007007
