element,id,name,brand,operator,street,housenumber,postcode,opening_hours,atm,wheelchair,latitude,longitude,district,district_id
node,5785192449,postbank,postbank,postbank,breite straße,20,13187,mo-fr 09:30-18:30; sa 09:30-14:00,true,true,52.5699034,13.4036524,Pankow,nan
node,5945635506,postbank,postbank,nan,nan,nan,nan,"mo-fr 09:00-18:30; sa 09:00-13:00 || mo-fr 09:00-18:30; sa 09:00-13:00 ""sb-bereich",unknown,unknown,52.4856043,13.3546589,Tempelhof-Schöneberg,nan
node,6044549331,deutsche bank,deutsche bank,nan,leipziger platz,8,10117,"mo,we,fr 10:00-14:00; tu,th 10:00-13:00,14:00-18:00",true,true,52.5089007,13.3787687,Mitte,nan
node,6111072585,wüstenrot,nan,wüstenrot,breite straße,51,14199,"mo-th 09:00-13:00,14:00-18:00",false,unknown,52.4731276,13.2985116,Charlottenburg-Wilmersdorf,nan
node,6267004287,santander,santander,santander,nan,nan,nan,"mo-th 09:00-13:00, mo,we 14:00-17:00, tu,th 14:00-18:00, fr 09:00-14:00",false,true,52.5526597,13.3815603,Mitte,nan
node,6801285875,commerzbank,commerzbank,nan,friedrichstraße,79,nan,"mo-fr 09:00-13:00, mo 14:00-16:00, tu,th 14:30-18:00",true,true,52.5149174,13.3893671,Mitte,nan
node,7021823831,creditplus bank berlin,nan,nan,danziger straße,127,10407,"mo,tu 09:00-18:00; fr 09:00-15:00; we,th 09:00-16:00",unknown,unknown,52.5358013,13.4345491,Pankow,nan
node,7261139569,western union,western union,nan,nan,nan,nan,"mo-fr 09:00-13:30, sa 10:00-18:00, mo-fr 14:15-18:00",unknown,unknown,52.4764909,13.4263444,Neukölln,nan
node,8397700150,postbank,postbank,nan,kurt-schumacher-damm,1-15,13405,mo-fr 09:00-18:00; sa 09:00-14:00,true,true,52.5627815,13.3273677,Reinickendorf,nan
node,8462242291,ing,ing,nan,prerower platz,1,13051,unknown,unknown,unknown,52.5648245,13.506073,Lichtenberg,nan
node,8462242299,postbank,postbank,nan,prerower platz,1,13051,mo-fr 09:00-18:30; sa 09:00-12:00,unknown,unknown,52.5646627,13.5070677,Lichtenberg,nan
node,8611640566,i̇şbank,i̇şbank,nan,müllerstraße,34a,13353,"mo-we 08:30-13:00,14:00-16:30; th 08:30-13:00,14:00-17:30; fr 08:30-13:00,14:00-16:30",true,true,52.5487108,13.3556221,Mitte,nan
node,9147776075,sb-service,nan,nan,rudi-dutschke-straße,17,10969,unknown,true,true,52.5067214,13.3931644,Friedrichshain-Kreuzberg,nan
node,9654277830,postbank,postbank,nan,nan,nan,nan,"mo 09:00-18:00, tu-fr 09:00-13:00, tu-th 14:00-18:00, sa 09:00-13:00",unknown,unknown,52.5506715,13.163499,Spandau,nan
node,9783952823,deutsche bank,deutsche bank,nan,nan,nan,nan,"mo,tu,th 10:00-18:00; fr 10:00-14:00",unknown,true,52.5650834,13.3640724,Reinickendorf,nan
node,9798306522,ziraat bank,nan,t.c. ziraat bankası,leipziger straße,31,10117,"mo-fr 09:00-12:00, mo,we 13:00-17:00, th 13:00-18:00, fr 13:00-16:15",unknown,unknown,52.5102542,13.3908408,Mitte,nan
node,9798306523,kt bank,nan,nan,leipziger straße,26,10117,"mo-th 09:00-13:00, fr 09:00-12:30, th 14:00-18:00, mo 14:00-17:00, tu 14:00-17:00, fr 14:30-16:30",unknown,unknown,52.5101755,13.3893814,Mitte,nan
node,9998946661,privatkundencenter buch,nan,berliner sparkasse,wiltbergstraße,5,13125,unknown,true,unknown,52.635039,13.4956023,,nan
node,10173367759,berliner volksbank,berliner volksbank,nan,nan,nan,nan,"ph,mo-su 06:00-22:00",unknown,false,52.4549272,13.4373988,Neukölln,nan
node,10297240439,sparda-bank berlin,sparda-bank berlin,nan,bornitzstraße,49-51,10365,"mo,tu,th 08:00-20:00",true,unknown,52.5209246,13.4876464,Lichtenberg,nan
node,10599976858,postbank,postbank,nan,nan,nan,nan,unknown,unknown,unknown,52.5495778,13.4161093,Pankow,nan
node,10839791615,commerzbank,commerzbank,commerzbank,kurfürstendamm,59,10707,"mo-fr 09:00-13:00, tu 14:00-16:00, th 14:30-18:00",true,unknown,52.5009575,13.3133912,Charlottenburg-Wilmersdorf,nan
node,11102502875,quirion ag,nan,nan,nan,nan,nan,unknown,false,unknown,52.4965976,13.2880963,Charlottenburg-Wilmersdorf,nan
node,11102502876,quirin privatbank ag,nan,nan,nan,nan,nan,unknown,false,unknown,52.4966213,13.2881286,Charlottenburg-Wilmersdorf,nan
node,11374894270,hw leasing gmbh,nan,nan,otto-suhr-allee,84,10585,unknown,unknown,unknown,52.5167764,13.3097104,Charlottenburg-Wilmersdorf,nan
node,11409766032,commerzbank,commerzbank,nan,nan,nan,nan,"mo-fr 09:00-13:00; tu 09:00-13:00,14:00-16:00; th 09:00-13:00,14:00-18:00",true,true,52.4294134,13.3302654,Steglitz-Zehlendorf,nan
node,11773890562,postbank,postbank,nan,otto-suhr-allee,6,nan,unknown,unknown,unknown,52.5140584,13.3194327,Charlottenburg-Wilmersdorf,nan
node,11800101423,i̇şbank,i̇şbank,nan,nan,nan,nan,"mo-we,fr 08:30-13:00,14:00-16:30; th 08:30-13:00,14:00-17:30",unknown,unknown,52.4985964,13.4176845,Friedrichshain-Kreuzberg,nan
node,11838472491,berlin hyp,nan,nan,tauentzienstraße,13,nan,unknown,false,unknown,52.504002,13.3363703,Charlottenburg-Wilmersdorf,nan
node,11893054160,berliner volksbank,berliner volksbank,nan,nan,nan,nan,"mo-su,ph 06:00-23:00",true,unknown,52.5245453,13.336027,Mitte,nan
